pub_date	title	venue	excerpt	citation	url_slug	paper_url
2017-03-09	Remnants of an ancient metabolism without phosphate	Cell	Phosphate is essential for all living systems, serving as a building block of genetic and metabolic machinery. However, it is unclear how phosphate could have assumed these central roles on primordial Earth, given its poor geochemical accessibility. We used systems biology approaches to explore the alternative hypothesis that a protometabolism could have emerged prior to the incorporation of phosphate. Surprisingly, we identified a cryptic phosphate-independent core metabolism producible from simple prebiotic compounds. This network is predicted to support the biosynthesis of a broad category of key biomolecules. Its enrichment for enzymes utilizing iron-sulfur clusters, and the fact that thermodynamic bottlenecks are more readily overcome by thioester rather than phosphate couplings, suggest that this network may constitute a “metabolic fossil” of an early phosphate-free nonenzymatic biochemistry. Our results corroborate and expand previous proposals that a putative thioester-based metabolism could have predated the incorporation of phosphate and an RNA-based genetic system.	Goldford, J.E., Hartman, H., Smith, T.F., & Segrè, D. Remnants of an ancient metabolism without phosphate. <i>Cell</i>. 2017 Mar 9; 168(6): 1126-1134	https://www.sciencedirect.com/science/article/pii/S0092867417301332	http://jgoldford.github.io/files/Goldford_Cell_2017.pdf
2018-04-01	Modern views of ancient metabolic networks	Current Opinion in Systems Biology	Metabolism is a molecular, cellular, ecological and planetary phenomenon, whose fundamental principles are likely at the heart of what makes living matter different from inanimate one. Systems biology approaches developed for the quantitative analysis of metabolism at multiple scales can help understand metabolism's ancient history. In this review, we highlight work that uses network-level approaches to shed light on key innovations in ancient life, including the emergence of proto-metabolic networks, collective autocatalysis and bioenergetics coupling. Recent experiments and computational analyses have revealed new aspects of this ancient history, paving the way for the use of large datasets to further improve our understanding of life's principles and abiogenesis.	Goldford, J.E., & Segrè, D. Modern views of ancient metabolic networks. <i>Current Opinion in Systems Biology.</i> 2018 Apr; (8) 117-124	https://www.sciencedirect.com/science/article/pii/S2452310017302196	http://jgoldford.github.io/files/Goldford_CurrOpin_2018.pdf
2018-08-03	Emergent simplicity in microbial community assembly	Science	A major unresolved question in microbiome research is whether the complex taxonomic architectures observed in surveys of natural communities can be explained and predicted by fundamental, quantitative principles. Bridging theory and experiment is hampered by the multiplicity of ecological processes that simultaneously affect community assembly in natural ecosystems. We addressed this challenge by monitoring the assembly of hundreds of soil- and plant-derived microbiomes in well-controlled minimal synthetic media. Both the community-level function and the coarse-grained taxonomy of the resulting communities are highly predictable and governed by nutrient availability, despite substantial species variability. By generalizing classical ecological models to include widespread nonspecific cross-feeding, we show that these features are all emergent properties of the assembly of large microbial communities, explaining their ubiquity in natural microbiomes.	Goldford, J.E., Lu, N., Bajic, D., Estrela, S., Tikhonov M., Gorostiaga, A., Segrè, D., Mehta, P., & Sanchez, A. Emergent simplicity in microbial community assembly. <i>Science</i>. 2018 August; (361) 469-74	https://science.sciencemag.org/content/361/6401/469.abstract	http://jgoldford.github.io/files/Goldford_Science_2018.pdf
2019-11-11	Environmental boundary conditions for the origin of life converge to an organo-sulfur metabolism	Nature Ecology & Evolution	It has been suggested that a deep memory of early life is hidden in the architecture of metabolic networks, whose reactions could have been catalyzed by small molecules or minerals before genetically encoded enzymes. A major challenge in unravelling these early steps is assessing the plausibility of a connected, thermodynamically consistent proto-metabolism under different geochemical conditions, which are still surrounded by high uncertainty. Here we combine network-based algorithms with physico-chemical constraints on chemical reaction networks to systematically show how different combinations of parameters (temperature, pH, redox potential and availability of molecular precursors) could have affected the evolution of a proto-metabolism. Our analysis of possible trajectories indicates that a subset of boundary conditions converges to an organo-sulfur-based proto-metabolic network fuelled by a thioester- and redox-driven variant of the reductive tricarboxylic acid cycle that is capable of producing lipids and keto acids. Surprisingly, environmental sources of fixed nitrogen and low-potential electron donors are not necessary for the earliest phases of biochemical evolution. We use one of these networks to build a steady-state dynamical metabolic model of a protocell, and find that different combinations of carbon sources and electron donors can support the continuous production of a minimal ancient ‘biomass’ composed of putative early biopolymers and fatty acids.	Goldford, J.E., Hartman, H., Marsland R., & Segrè, D. Environmental boundary conditions for the origin of life converge to an organo-sulfur metabolism. <i>Nature Ecology & Evolution</i>. 2019 Nov; (3)1715-1724	https://www.nature.com/articles/s41559-019-1018-8	http://jgoldford.github.io/files/Goldford_NatureEcoEvo_2019.pdf
2020-12-29	A thermodynamic atlas of carbon redox chemical space	PNAS	Redox biochemistry plays a key role in the transduction of chemical energy in living systems. However, the compounds observed in metabolic redox reactions are a minuscule fraction of chemical space. It is not clear whether compounds that ended up being selected as metabolites display specific properties that distinguish them from nonbiological compounds. Here, we introduce a systematic approach for comparing the chemical space of all possible redox states of linear-chain carbon molecules to the corresponding metabolites that appear in biology. Using cheminformatics and quantum chemistry, we analyze the physicochemical and thermodynamic properties of the biological and nonbiological compounds. We find that, among all compounds, aldose sugars have the highest possible number of redox connections to other molecules. Metabolites are enriched in carboxylic acid functional groups and depleted of ketones and aldehydes and have higher solubility than nonbiological compounds. Upon constructing the energy landscape for the full chemical space as a function of pH and electron-donor potential, we find that metabolites tend to have lower Gibbs energies than nonbiological molecules. Finally, we generate Pourbaix phase diagrams that serve as a thermodynamic atlas to indicate which compounds are energy minima in redox chemical space across a set of pH values and electron-donor potentials. While escape from thermodynamic equilibrium toward kinetically driven states is a hallmark of life and its origin, we envision that a deeper quantitative understanding of the environment-dependent thermodynamic landscape of putative prebiotic molecules will provide a crucial reference for future origins-of-life models	Jinich, A., Sanchez-Lengeling, B., Ren, H., Goldford, J.E., Noor, E., Sanders, J., Segrè, D. & Aspuru-Guzik, A. A thermodynamic atlas of carbon redox chemical space. <i>Proceedings of the National Academy of Sciences</i>. 2020 Dec; 117 (52) 32910-32918	https://www.pnas.org/content/117/52/32910	http://jgoldford.github.io/files/Jinich_PNAS_2020.pdf
2020-03-24	The Community Simulator: A Python package for microbial ecology.	PLoS ONE	Natural microbial communities contain hundreds to thousands of interacting species. For this reason, computational simulations are playing an increasingly important role in microbial ecology. In this manuscript, we present a new open-source, freely available Python package called Community Simulator for simulating microbial population dynamics in a reproducible, transparent and scalable way. The Community Simulator includes five major elements: tools for preparing the initial states and environmental conditions for a set of samples, automatic generation of dynamical equations based on a dictionary of modeling assumptions, random parameter sampling with tunable levels of metabolic and taxonomic structure, parallel integration of the dynamical equations, and support for metacommunity dynamics with migration between samples. To significantly speed up simulations using Community Simulator, our Python package implements a new Expectation-Maximization (EM) algorithm for finding equilibrium states of community dynamics that exploits a recently discovered duality between ecological dynamics and convex optimization. We present data showing that this EM algorithm improves performance by between one and two orders compared to direct numerical integration of the corresponding ordinary differential equations. We conclude by listing several recent applications of the Community Simulator to problems in microbial ecology, and discussing possible extensions of the package for directly analyzing microbiome compositional data.	Marsland R., Cui W., Goldford, J.E., & Mehta, P. The Community Simulator: A Python package for microbial ecology. <i>PLoS ONE</i> 2020 Mar; 15(3): e0230430	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0230430	http://jgoldford.github.io/files/Marsland_PLoSONE_2020.pdf
2019-02-05	Available energy fluxes drive a phase transition in the diversity, stability, and functional structure of microbial communities	PLoS Computational Biology	A fundamental goal of microbial ecology is to understand what determines the diversity, stability, and structure of microbial ecosystems. The microbial context poses special conceptual challenges because of the strong mutual influences between the microbes and their chemical environment through the consumption and production of metabolites. By analyzing a generalized consumer resource model that explicitly includes cross-feeding, stochastic colonization, and thermodynamics, we show that complex microbial communities generically exhibit a transition as a function of available energy fluxes from a “resource-limited” regime where community structure and stability is shaped by energetic and metabolic considerations to a diverse regime where the dominant force shaping microbial communities is the overlap between species’ consumption preferences. These two regimes have distinct species abundance patterns, different functional profiles, and respond differently to environmental perturbations. Our model reproduces large-scale ecological patterns observed across multiple experimental settings such as nestedness and differential beta diversity patterns along energy gradients. We discuss the experimental implications of our results and possible connections with disorder-induced phase transitions in statistical physics.	Marsland R., Cui W., Goldford, J.E., Sanchez, A., Korolev, K., & Mehta, P. Available energy fluxes drive a phase transition in the diversity, stability, and functional structure of microbial communities. <i>PLoS Computational Biology</i>. 2019 February; 15(2): e1006793	https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1006793	http://jgoldford.github.io/files/Marsland_PloSCompBio_2019.pdf
2017-09-12	Genome-scale architecture of small molecule regulatory networks and the fundamental trade-off between regulation and enzymatic activity.	Cell reports		Reznik, E., Christodoulou, D., Goldford, J.E., Briars, E., Sauer, U., Segrè D., & Noor E. Genome-scale architecture of small molecule regulatory networks and the fundamental trade-off between regulation and enzymatic activity. <i>Cell Reports</i>. 2017 Sep 12; 20(11) 2666–2677	https://www.sciencedirect.com/science/article/pii/S2211124717311919	http://jgoldford.github.io/files/Reznick_CellReports_2017.pdf
2016-05-04	Unsupervised Identification of Isotope Labeled Peptides.	Analytical Chemistry		Goldford, J.E. and Libourel, I. Unsupervised Identification of Isotope Labeled Peptides. <i>Analytical Chemistry</i>. 2016 Jun 7;88(11) 6092-6099	https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b01703	http://jgoldford.github.io/files/Goldford_AnalChem_2016.pdf
2013-11-26	Metabolic flux analysis using 13C peptide label measurements	Plant Journal		Mandy, D., Goldford, J.E., Yang, H., Allen, D., & Libourel, I. Metabolic flux analysis using 13C peptide label measurements. <i>Plant Journal</i>. 2014 Feb; 77(3): 476-86	https://onlinelibrary.wiley.com/doi/full/10.1111/tpj.12390	http://jgoldford.github.io/files/Mandy_PlantJ_2013.pdf
